Geneid	dukeepi1513rep2	dukeepi1513rep3	dukeepi1930rep2	dukeepi1930rep3	dukeepi3169rep2	dukeepi3169rep3	dukeepi3949rep2	dukeepi3949rep3	dukeepi4000rep2	dukeepi4000rep3	dukeepi1046cap2	dukeepi2213cap1	dukeepi2213cap2	dukeepi2638cap1	dukeepi2953cap1	dukeepi2953cap2	dukeepi1895rep1	dukeepi1895rep2	dukeepi2948rep1	dukeepi2948rep2	dukeepi3956rep1	dukeepi3956rep2
DDX11L1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
WASH7P	26	100	54	172	18	199	27	98	8	73	239	435	218	97	175	210	2	0	1	0	0	0
MIR1302-10	263	291	571	539	380	740	324	327	248	486	0	0	20	3	40	0	716	694	235	124	142	835
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.7	15	7	9	33	27	13	10	6	14	25	4	0	0	0	0	0	4	0	2	0	0	3
RP11-34P13.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.10	46	62	87	163	40	138	33	41	80	102	0	4	0	0	0	0	0	0	0	10	0	2
RP11-34P13.16	6	2	19	48	3	11	3	7	0	4	1	5	11	0	13	16	0	0	0	0	7	0
RP11-34P13.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.14	0	0	2	0	0	0	0	0	0	2	18	8	9	0	16	3	2	0	0	0	0	0
RP11-34P13.12	18	3	15	20	3	17	2	4	6	22	0	0	0	0	0	0	1	9	3	9	6	2
U6	1357	1427	2805	2123	3650	3576	1782	1436	2602	2740	1726	1955	1874	1023	1595	1385	2041	1751	1489	1198	2371	2026
RP11-34P13.9	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	3
RP11-34P13.13	12	10	11	13	5	11	1	5	3	6	3	0	0	1	4	3	1	1	0	4	0	0
AP006222.2	544	382	231	309	598	628	477	275	550	339	61	24	6	42	10	25	146	85	139	381	153	35
AP006222.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.10	19	20	51	53	33	39	64	42	16	17	0	0	4	0	0	0	4	1	2	6	8	2
RP4-669L17.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
